gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx942,304,2048,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,64,0,703.1913,_ZN5aiter43fmoe_bf16_blockscaleFp8_g1u1_vs_silu_64x256E,0.0%,0.0,,0.0%,703.1913,1,0,0,219.88,2630.42,
gfx942,304,4096,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,64,0,1069.7621,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,1069.7621,1,0,0,289.07,1764.35,
gfx942,304,8192,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,64,0,1412.0369,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,1412.0369,1,0,0,438.0,1390.14,
gfx942,304,16384,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,64,0,2680.6649,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,2680.6649,1,0,0,461.43,788.58,
gfx942,304,32768,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,64,0,4816.4201,_ZN5aiter46fmoe_bf16_blockscaleFp8_g1u1_vs_ps_silu_64x256E,0.0%,0.0,,0.0%,4816.4201,1,0,0,513.64,501.6,
gfx950,256,2048,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,158.4225,flydsl_moe1_afp8_wfp4_bf16_t64x128x256_w3_gui_fp8,5.1%,171.3307,opus_moe2_afp8_wfp4_bf16_t64x256x256_sbm64_rbn3584,0.0%,329.7532,0,0,0,468.89,5609.31,
gfx950,256,4096,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,231.2345,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w2_bnt0_gui_xcd4_fp8,5.2%,301.7025,opus_moe2_afp8_wfp4_bf16_t64x256x256_sbm64_rbn3584,0.0%,532.9370,0,0,0,580.25,3541.58,
gfx950,256,8192,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,335.6828,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w4_bnt0_gui_xcd4_fp8,5.2%,539.4436,opus_moe2_afp8_wfp4_bf16_t64x256x256_sbm64_rbn3584,0.0%,875.1264,0,0,0,706.73,2243.03,
gfx950,256,16384,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,561.1050,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w4_bnt0_gui_xcd4_fp8,5.2%,1064.5217,opus_moe2_afp8_wfp4_bf16_t64x256x256_sbm64_rbn6144,0.0%,1625.6267,0,0,0,760.91,1300.38,
gfx950,256,32768,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1024.9486,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w2_bnt0_gui_xcd4_fp8,5.2%,2065.2040,opus_moe2_afp8_wfp4_bf16_t64x256x256_sbm64_rbn6144,0.0%,3090.1526,0,0,0,800.58,781.81,
gfx950,256,65536,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1980.0628,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w4_bnt0_gui_xcd4_fp8,5.2%,4040.7518,opus_moe2_afp8_wfp4_bf16_t64x256x256_sbm64_rbn6144,0.0%,6020.8146,0,0,0,821.78,501.58,
gfx950,256,131072,6144,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,3919.6567,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w2_bnt0_gui_xcd4_fp8,5.2%,7765.3904,opus_moe2_afp8_wfp4_bf16_t64x256x256_sbm64_rbn6144,0.0%,11685.0471,0,0,0,846.86,361.82,
